Province_State,Country_Region,Last_Update,Total_Confirmed_Cases,Deaths,Recovered,Active_Cases,Incidence_Rate,Case-Fatality_Ratio
Punjab,Pakistan,6/24/2021,345449,10688,325486,9275,314.0090282,3.093944403
Sindh,Pakistan,6/24/2021,333798,5368,309070,19360,697.0672942,1.608158227
Azad Jammu and Kashmir,Pakistan,6/25/2021,20121,576,19110,435,497.3839203,2.862680781
Balochistan,Pakistan,6/25/2021,26893,304,25796,793,217.8557287,1.130405682
Gilgit-Baltistan,Pakistan,6/25/2021,5908,111,5632,165,582.8821292,1.878808395
Islamabad,Pakistan,6/25/2021,82502,775,80698,1029,4111.589318,0.939371167
Khyber Pakhtunkhwa,Pakistan,6/25/2021,137484,4294,131318,1872,450.4220717,3.123272526
Punjab,Pakistan,6/25/2021,345546,10700,325784,9062,314.0972,3.096548651
Sindh,Pakistan,6/25/2021,334453,5392,309496,19565,698.4351247,1.612184672
Azad Jammu and Kashmir,Pakistan,6/26/2021,20173,578,19158,437,498.6693417,2.865215883
Balochistan,Pakistan,6/26/2021,26932,305,25851,776,218.1716612,1.132481806
Gilgit-Baltistan,Pakistan,6/26/2021,5950,111,5657,182,587.025841,1.865546218
Islamabad,Pakistan,6/26/2021,82528,776,80757,995,4112.88506,0.940286933
Khyber Pakhtunkhwa,Pakistan,6/26/2021,137560,4298,131396,1866,450.6710612,3.124454783
Punjab,Pakistan,6/26/2021,345655,10713,326029,8913,314.1962797,3.09933315
Sindh,Pakistan,6/26/2021,335044,5407,310096,19541,699.6693045,1.613817887
Azad Jammu and Kashmir,Pakistan,6/27/2021,20212,582,19196,434,499.6334077,2.879477538
Balochistan,Pakistan,6/27/2021,27003,307,25874,822,218.7468204,1.136910714
Gilgit-Baltistan,Pakistan,6/27/2021,5984,111,5657,216,590.3802744,1.854946524
Islamabad,Pakistan,6/27/2021,82565,776,80815,974,4114.729001,0.93986556
Khyber Pakhtunkhwa,Pakistan,6/27/2021,137628,4304,131513,1811,450.8938413,3.127270614
Punjab,Pakistan,6/27/2021,345796,10721,326231,8844,314.324447,3.100382885
Sindh,Pakistan,6/27/2021,335555,5410,311005,19140,700.7364211,1.612254325
Azad Jammu and Kashmir,Pakistan,6/28/2021,20243,582,19224,437,500.3997166,2.875067925
Balochistan,Pakistan,6/28/2021,27064,307,25920,837,219.2409713,1.134348212
Gilgit-Baltistan,Pakistan,6/28/2021,6019,111,5685,223,593.8333675,1.844160159
Islamabad,Pakistan,6/28/2021,82596,776,80860,960,4116.273924,0.939512809
Khyber Pakhtunkhwa,Pakistan,6/28/2021,137759,4308,131626,1825,451.3230206,3.127200401
Punjab,Pakistan,6/28/2021,345900,10729,326512,8659,314.4189818,3.101763515
Sindh,Pakistan,6/28/2021,336076,5418,311374,19284,701.8244206,1.61213535
Azad Jammu and Kashmir,Pakistan,6/29/2021,20256,582,19247,427,500.721072,2.873222749
Balochistan,Pakistan,6/29/2021,27083,307,25979,797,219.3948871,1.133552413
Gilgit-Baltistan,Pakistan,6/29/2021,6060,111,5728,221,597.8784195,1.831683168
Islamabad,Pakistan,6/29/2021,82619,776,80885,958,4117.420157,0.939251262
Khyber Pakhtunkhwa,Pakistan,6/29/2021,137831,4311,131698,1822,451.5589055,3.127743396
Punjab,Pakistan,6/29/2021,346036,10740,326669,8627,314.5426042,3.103723312
Sindh,Pakistan,6/29/2021,336507,5427,311779,19301,702.724474,1.612745054
Azad Jammu and Kashmir,Pakistan,6/30/2021,20293,582,19278,433,501.6356987,2.867984034
Balochistan,Pakistan,6/30/2021,27145,308,26136,701,219.8971389,1.134647265
Gilgit-Baltistan,Pakistan,6/30/2021,6098,111,5728,259,601.6274921,1.820268941
Islamabad,Pakistan,6/30/2021,82652,777,80924,951,4119.064753,0.940086144
Khyber Pakhtunkhwa,Pakistan,6/30/2021,137951,4316,132087,1548,451.9520468,3.128647128
Punjab,Pakistan,6/30/2021,346180,10747,326994,8439,314.6734985,3.10445433
Sindh,Pakistan,6/30/2021,337052,5440,312337,19275,703.8625925,1.61399428
Azad Jammu and Kashmir,Pakistan,7/1/2021,20343,583,19307,453,502.8716808,2.865850661
Balochistan,Pakistan,7/1/2021,27178,309,26170,699,220.1644664,1.136949003
Gilgit-Baltistan,Pakistan,7/1/2021,6138,111,5735,292,605.5738844,1.808406647
Islamabad,Pakistan,7/1/2021,82706,779,80955,972,4121.75591,0.941890552
Khyber Pakhtunkhwa,Pakistan,7/1/2021,138068,4320,132249,1499,452.3353597,3.128893009
Punjab,Pakistan,7/1/2021,346301,10755,327168,8378,314.783486,3.105679741
Sindh,Pakistan,7/1/2021,337674,5464,312736,19474,705.1615094,1.618128728
Azad Jammu and Kashmir,Pakistan,7/2/2021,20405,583,19332,490,504.4042986,2.857142857
Balochistan,Pakistan,7/2/2021,27242,309,26241,692,220.6829197,1.134277953
Gilgit-Baltistan,Pakistan,7/2/2021,6239,111,5748,380,615.5385247,1.779131271
Islamabad,Pakistan,7/2/2021,82779,779,80978,1022,4125.393955,0.941059931
Khyber Pakhtunkhwa,Pakistan,7/2/2021,138179,4324,132333,1522,452.6990155,3.129274347
Punjab,Pakistan,7/2/2021,346454,10761,327422,8271,314.9225612,3.106040051
Sindh,Pakistan,7/2/2021,338387,5478,313376,19533,706.6504607,1.618856516
Azad Jammu and Kashmir,Pakistan,7/3/2021,20458,586,19366,506,505.7144397,2.864405123
Balochistan,Pakistan,7/3/2021,27295,310,26297,688,221.1122639,1.135739146
Gilgit-Baltistan,Pakistan,7/3/2021,6331,111,5763,457,624.6152268,1.753277523
Islamabad,Pakistan,7/3/2021,82845,779,81014,1052,4128.683147,0.940310218
Khyber Pakhtunkhwa,Pakistan,7/3/2021,138306,4329,132393,1584,453.1150901,3.130016051
